Ticket #,date_time, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,Truck #_clean,tax_exempt,id_truck,id_mat,material,id_cust,Trucksize
172436,2026-03-23T14:18:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172437,2026-03-23T14:28:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,MAK22,Y,97,11.0,Broken Concrete,93,Axle 4_5
172438,2026-03-23T14:30:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV1,Y,273,11.0,Broken Concrete,93,Axle 4_5
172439,2026-03-23T14:34:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DC36,Y,40,11.0,Broken Concrete,93,Axle 4_5
172440,2026-03-23T14:47:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172441,2026-03-23T14:54:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,C2H19,Y,235,11.0,Broken Concrete,93,Axle 4_5
172442,2026-03-23T15:06:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,MAK22,Y,97,11.0,Broken Concrete,93,Axle 4_5
172443,2026-03-23T15:07:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV1,Y,273,11.0,Broken Concrete,93,Axle 4_5
172444,2026-03-23T15:10:00,$120.00 ,"North Coast Concrete, Inc.",VA Hospital - 3311 W.73rd St.,VA Hospital - 3311 W.73rd St.,other clean hard fill,IN,2026,SEITZ02,N,255,18.0,Other Clean Hard Fill,95,TriAxle
172445,2026-03-23T15:10:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DC36,Y,40,11.0,Broken Concrete,93,Axle 4_5
172446,2026-03-23T15:18:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172447,2026-03-23T15:21:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV11,N,49,18.0,Other Clean Hard Fill,106,Axle 4_5
172448,2026-03-23T15:26:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV10,N,48,18.0,Other Clean Hard Fill,106,Axle 4_5
172449,2026-03-23T15:28:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV5,N,54,18.0,Other Clean Hard Fill,106,Axle 4_5
172450,2026-03-23T15:30:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,C2H19,Y,235,11.0,Broken Concrete,93,Axle 4_5
172451,2026-03-23T15:43:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,MAK22,Y,97,11.0,Broken Concrete,93,Axle 4_5
172452,2026-03-23T15:43:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV1,Y,273,11.0,Broken Concrete,93,Axle 4_5
172453,2026-03-23T15:48:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DC36,Y,40,11.0,Broken Concrete,93,Axle 4_5
172454,2026-03-23T16:10:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,C2H19,Y,235,11.0,Broken Concrete,93,Axle 4_5
172455,2026-03-23T16:15:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV1,Y,273,11.0,Broken Concrete,93,Axle 4_5
172456,2026-03-23T16:17:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DC36,Y,40,11.0,Broken Concrete,93,Axle 4_5
172457,2026-03-23T16:23:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,MAK22,Y,97,11.0,Broken Concrete,93,Axle 4_5
172458,2026-03-23T16:48:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,C2H19,Y,235,11.0,Broken Concrete,93,Axle 4_5
172459,2026-03-24T07:49:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV10,Y,48,11.0,Broken Concrete,93,Axle 4_5
