id,ticket_number,ticket_year,ticket_sequence,direction,created_at,job_id,job_code_snapshot,job_name_snapshot,customer_snapshot,truck_id,truck_number_snapshot,material_id,material_name_snapshot,quantity,unit,notes,pdf_path,pdf_blob,tax_exempt,cost,active,modified_to_id
3863,DT-2026-001191,2026,1191,OUT,2026-02-26T08:46:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,243.0,DLP22,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3864,DT-2026-001192,2026,1192,IN,2026-02-26T08:50:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,42.0,DEL03,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3865,DT-2026-001193,2026,1193,IN,2026-02-26T08:53:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,49.0,DEV11,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3866,DT-2026-001194,2026,1194,IN,2026-02-26T09:01:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3867,DT-2026-001195,2026,1195,IN,2026-02-26T09:04:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,159.0,PRATT809,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3868,DT-2026-001196,2026,1196,IN,2026-02-26T09:09:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,48.0,DEV10,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3869,DT-2026-001197,2026,1197,IN,2026-02-26T09:15:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,88.0,JDH05,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3870,DT-2026-001198,2026,1198,IN,2026-02-26T09:19:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,54.0,DEV5,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3871,DT-2026-001199,2026,1199,OUT,2026-02-26T09:30:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,239.0,GACE26,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3872,DT-2026-001200,2026,1200,IN,2026-02-26T09:31:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,35.0,DC28,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
