Ticket #,Date,Time,Truck #,Trucksize, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,date_time,Truck #_clean
170630,2026-01-09,8:21 AM,rl12,Axle 4_5,$165.00 ,Shook Construction Co. ,Bedford - Solon Rd.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T08:21:00,rl12
170631,2026-01-09,8:26 AM,mike111,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T08:26:00,mike111
170632,2026-01-09,8:51 AM,rl14,Axle 4_5,$165.00 ,Shook Construction Co. ,Bedford - Solon Rd.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T08:51:00,rl14
170633,2026-01-09,9:02 AM,mid909,Axle 1,$90.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,sand (screened),OUT,2026,2026-01-09T09:02:00,mid909
170634,2026-01-09,9:14 AM,mid902,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T09:14:00,mid902
170635,2026-01-09,9:15 AM,mid900,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T09:15:00,mid900
170636,2026-01-09,9:16 AM,seitz03,TriAxle,$120.00 ,"North Coast Concrete, Inc.",Wamelink Ave. - Woodhill Station,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T09:16:00,seitz03
170637,2026-01-09,9:17 AM,rl10,Axle 4_5,$165.00 ,Shook Construction Co. ,Bedford - Solon Rd.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T09:17:00,rl10
170638,2026-01-09,9:28 AM,rl21,Axle 4_5,$165.00 ,Shook Construction Co. ,Bedford - Solon Rd.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T09:28:00,rl21
170639,2026-01-09,9:42 AM,mike108,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T09:42:00,mike108
170640,2026-01-09,9:52 AM,mid909,Axle 1,$350.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,#304 Limestone,OUT,2026,2026-01-09T09:52:00,mid909
170641,2026-01-09,10:20 AM,seitz03,TriAxle,$120.00 ,"North Coast Concrete, Inc.",Wamelink Ave. - Woodhill Station,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T10:20:00,seitz03
170642,2026-01-09,10:36 AM,mid902,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T10:36:00,mid902
170643,2026-01-09,10:46 AM,mid900,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T10:46:00,mid900
170644,2026-01-09,10:47 AM,mid900,Axle 1,$90.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,sand (screened),OUT,2026,2026-01-09T10:47:00,mid900
170645,2026-01-09,11:25 AM,mike111,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T11:25:00,mike111
170646,2026-01-09,11:37 AM,mid902,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T11:37:00,mid902
170647,2026-01-09,11:44 AM,seitz03,TriAxle,$120.00 ,"North Coast Concrete, Inc.",Wamelink Ave. - Woodhill Station,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T11:44:00,seitz03
